"area","Reporting Economy","Year","value"
"ALB","EastAsia","2002",".."
"ALB","China","2002",".."
"ALB","WestAsia","2002","44.1146328697473"
"ALB","Kuwait","2002","0"
"ALB","Lebanon","2002","7.06728727381486"
"ALB","SaudiArabia","2002","8.90512187827127"
"ALB","Turkey","2002","28.1422237176611"
"ALB","UnitedArabEmirates","2002","0"
"ALB","Transitioneconomies","2002","4.72296994167788"
"ALB","South-EastEurope","2002","4.72296994167788"
"ALB","Montenegro","2002","0"
"ALB","TheFYRofMacedonia","2002","0"
"ALB","Yugoslavia(former)","2002","4.68237625243009"
"ALB","Unspecified","2002","24.2173919545387"
"ALB","World","2003","559.771852129856"
"ALB","Developedeconomies","2003","430.126881215988"
"ALB","Europe","2003","371.404916494652"
"ALB","EuropeanUnion","2003","371.404916494652"
"ALB","Austria","2003","0"
"ALB","Bulgaria","2003","17.7371551885907"
"ALB","Croatia","2003","2.30942015387502"
"ALB","Cyprus","2003","0"
"ALB","CzechRepublic","2003","0"
"ALB","France","2003","2.73690185775943"
"ALB","Germany","2003","22.515640833177"
"ALB","Greece","2003","223.771861512479"
"ALB","Hungary","2003","0"
"ALB","Italy","2003","100.657918934134"
"ALB","Netherlands","2003","1.03011822105461"
"ALB","Romania","2003","0"
"ALB","Slovenia","2003","0"
"ALB","UnitedKingdom","2003","0.64454869581535"
"ALB","OtherdevelopedEurope","2003","0"
"ALB","Monaco","2003","0"
"ALB","Norway","2003","0"
"ALB","Switzerland","2003","0"
"ALB","NorthAmerica","2003","58.7219647213361"
"ALB","Canada","2003","0"
"ALB","UnitedStates","2003","58.7219647213361"
"ALB","Otherdevelopedcountries","2003","0"
"ALB","Israel","2003","0"
"ALB","Developingeconomies","2003","82.2548977294051"
"ALB","Africa","2003","0"
"ALB","NorthAfrica","2003","0"
"ALB","Egypt","2003","0"
"ALB","Asia","2003","81.8770501032089"
"ALB","EastAsia","2003","0"
"ALB","China","2003","0"
"ALB","WestAsia","2003","81.8758022142991"
"ALB","Kuwait","2003","0"
"ALB","Lebanon","2003","23.12533308313"
"ALB","SaudiArabia","2003","9.88766185025333"
"ALB","Turkey","2003","48.8628072809157"
"ALB","UnitedArabEmirates","2003","0"
"ALB","Transitioneconomies","2003","12.8998592606493"
"ALB","South-EastEurope","2003","12.8998592606493"
"ALB","Montenegro","2003","0"
"ALB","TheFYRofMacedonia","2003","0"
"ALB","Yugoslavia(former)","2003","12.8244511165322"
"ALB","Unspecified","2003","34.4902139238131"
"ALB","World","2004","843.243955094992"
"ALB","Developedeconomies","2004","720.958193005181"
"ALB","Europe","2004","679.589259499137"
"ALB","EuropeanUnion","2004","669.08850388601"
"ALB","Austria","2004","48.2477331606218"
"ALB","Bulgaria","2004","11.9865177029361"
"ALB","Croatia","2004","11.2075129533679"
"ALB","Cyprus","2004","0"
"ALB","CzechRepublic","2004","0"
"ALB","France","2004","0.626716321243523"
"ALB","Germany","2004","12.9871329879102"
"ALB","Greece","2004","471.575453367876"
"ALB","Hungary","2004","0"
"ALB","Italy","2004","109.012359671848"
"ALB","Netherlands","2004","0.996610535405872"
"ALB","Romania","2004","0"
"ALB","Slovenia","2004","0"
"ALB","UnitedKingdom","2004","2.29637305699482"
"ALB","OtherdevelopedEurope","2004","10.5007556131261"
"ALB","Monaco","2004","0"
"ALB","Norway","2004","0"
"ALB","Switzerland","2004","10.5007556131261"
"ALB","NorthAmerica","2004","41.3689335060449"
"ALB","Canada","2004","0"
"ALB","UnitedStates","2004","41.3689335060449"
"ALB","Otherdevelopedcountries","2004","0"
"ALB","Israel","2004","0"
"ALB","Developingeconomies","2004","60.3156088082902"
"ALB","Africa","2004","8.41237046632124"
"ALB","NorthAfrica","2004","8.41237046632124"
"ALB","Egypt","2004","8.41237046632124"
"ALB","Asia","2004","51.9032383419689"
"ALB","EastAsia","2004","0"
"ALB","China","2004","0"
"ALB","WestAsia","2004","51.680170552677"
"ALB","Kuwait","2004","0"
"ALB","Lebanon","2004","6.42881044905009"
"ALB","SaudiArabia","2004","8.13112046632124"
"ALB","Turkey","2004","37.1202396373057"
"ALB","UnitedArabEmirates","2004","0"
"ALB","Transitioneconomies","2004","11.312122193437"
"ALB","South-EastEurope","2004","11.312122193437"
"ALB","Montenegro","2004","0"
"ALB","TheFYRofMacedonia","2004","0"
"ALB","Yugoslavia(former)","2004","11.0486075129534"
"ALB","Unspecified","2004","50.6580310880829"
"ALB","World","2005","1001.40687391388"
"ALB","Developedeconomies","2005","827.491562077621"
"ALB","Europe","2005","789.410764626376"
"ALB","EuropeanUnion","2005","778.147007144236"
"ALB","Austria","2005","53.8754199652443"
"ALB","Bulgaria","2005","10.5168468816374"
"ALB","Croatia","2005","2.8427495655532"
"ALB","Cyprus","2005","0"
"ALB","CzechRepublic","2005","0"
"ALB","France","2005","3.55339833944777"
"ALB","Germany","2005","33.5706796678896"
"ALB","Greece","2005","551.905223016026"
"ALB","Hungary","2005","0"
"ALB","Italy","2005","116.357559374397"
"ALB","Netherlands","2005","1.31636416296582"
"ALB","Romania","2005","0"
"ALB","Slovenia","2005","0"
"ALB","UnitedKingdom","2005","3.93676385402587"
"ALB","OtherdevelopedEurope","2005","11.2637574821394"
"ALB","Monaco","2005","0"
"ALB","Norway","2005","0"
"ALB","Switzerland","2005","11.2637574821394"
"ALB","NorthAmerica","2005","38.0807974512454"
"ALB","Canada","2005","0"
"ALB","UnitedStates","2005","38.0807974512454"
"ALB","Otherdevelopedcountries","2005","0"
"ALB","Israel","2005","0"
"ALB","Developingeconomies","2005","102.401535045376"
"ALB","Africa","2005","0.518661903842441"
"ALB","NorthAfrica","2005","0.518661903842441"
"ALB","Egypt","2005","0.518661903842441"
"ALB","Asia","2005","101.882873141533"
"ALB","EastAsia","2005","0.971152732187681"
"ALB","China","2005","0.971152732187681"
"ALB","WestAsia","2005","100.911720409345"
"ALB","Kuwait","2005","0"
"ALB","Lebanon","2005","29.2122320911373"
"ALB","SaudiArabia","2005","15.2883278625217"
"ALB","Turkey","2005","56.4111604556864"
"ALB","UnitedArabEmirates","2005","0"
"ALB","Transitioneconomies","2005","25.69670785866"
"ALB","South-EastEurope","2005","25.69670785866"
"ALB","Montenegro","2005","0"
"ALB","TheFYRofMacedonia","2005","13.4576752268778"
"ALB","Yugoslavia(former)","2005","12.2390326317822"
"ALB","Unspecified","2005","45.8170689322263"
"ALB","World","2006","1387.01889738687"
"ALB","Developedeconomies","2006","1162.05262375186"
"ALB","Europe","2006","1111.58891013384"
"ALB","EuropeanUnion","2006","1093.89331846187"
"ALB","Austria","2006","125.594858721054"
"ALB","Bulgaria","2006","11.5813256851498"
"ALB","Croatia","2006","3.35653282345443"
"ALB","Cyprus","2006","0"
"ALB","CzechRepublic","2006","0"
"ALB","France","2006","16.4587741661355"
"ALB","Germany","2006","39.0777565328235"
"ALB","Greece","2006","735.643775228383"
"ALB","Hungary","2006","0"
"ALB","Italy","2006","155.112438920756"
"ALB","Netherlands","2006","2.23104950074357"
"ALB","Romania","2006","0"
"ALB","Slovenia","2006","0.56021882302953"
"ALB","UnitedKingdom","2006","4.27658806033567"
"ALB","OtherdevelopedEurope","2006","17.6955916719779"
"ALB","Monaco","2006","0"
"ALB","Norway","2006","0"
"ALB","Switzerland","2006","17.6955916719779"
"ALB","NorthAmerica","2006","50.4637136180157"
"ALB","Canada","2006","0"
"ALB","UnitedStates","2006","50.4637136180157"
"ALB","Otherdevelopedcountries","2006","0"
"ALB","Israel","2006","0"
"ALB","Developingeconomies","2006","125.395666029318"
"ALB","Africa","2006","0.568451242829828"
"ALB","NorthAfrica","2006","0.568451242829828"
"ALB","Egypt","2006","0.568451242829828"
"ALB","Asia","2006","124.827214786488"
"ALB","EastAsia","2006","0.77182919056724"
"ALB","China","2006","0.77182919056724"
"ALB","WestAsia","2006","124.055385595921"
"ALB","Kuwait","2006","0"
"ALB","Lebanon","2006","31.2864775865732"
"ALB","SaudiArabia","2006","13.2536966220523"
"ALB","Turkey","2006","79.5152113872955"
"ALB","UnitedArabEmirates","2006","0"
"ALB","Transitioneconomies","2006","20.0420225196516"
"ALB","South-EastEurope","2006","20.0420225196516"
"ALB","Montenegro","2006","0"
"ALB","TheFYRofMacedonia","2006","16.6331421287444"
"ALB","Yugoslavia(former)","2006","3.40888039090716"
"ALB","Unspecified","2006","79.5285850860421"
"ALB","World","2007","2693.94172253284"
"ALB","Developedeconomies","2007","2034.44123526797"
"ALB","Europe","2007","1924.03378762318"
"ALB","EuropeanUnion","2007","1901.95229809422"
"ALB","Austria","2007","216.398597383785"
"ALB","Bulgaria","2007","19.1372909250966"
"ALB","Croatia","2007","1.47209930193051"
"ALB","Cyprus","2007","50.0513762656374"
"ALB","CzechRepublic","2007","0"
"ALB","France","2007","27.9698867366797"
