"area","Reporting Economy","Year","value"
"ALB","Luxembourg","2008","0"
"ALB","Romania","2008","0"
"ALB","Turkey","2008","0"
"ALB","Belgium","2009","0"
"ALB","Bulgaria","2009","-20.4211196052473"
"ALB","Croatia","2009","0"
"ALB","Greece","2009","0"
"ALB","Hungary","2009","-2.28966304573445"
"ALB","Italy","2009","19.4903610926271"
"ALB","Luxembourg","2009","0"
"ALB","Romania","2009","0"
"ALB","Turkey","2009","0"
"ALB","Belgium","2010","1.32442437205729"
"ALB","Bulgaria","2010","0"
"ALB","Croatia","2010","0"
"ALB","Greece","2010","1.32442437205729"
"ALB","Hungary","2010","2.57161543492479"
"ALB","Italy","2010","14.0653868312485"
"ALB","Luxembourg","2010","1.32442437205729"
"ALB","Romania","2010","0"
"ALB","Turkey","2010","0"
"ALB","Belgium","2011","1.3901342174587"
"ALB","Bulgaria","2011","1.38665888191505"
"ALB","Croatia","2011","-0.782645564429246"
"ALB","Greece","2011","0"
"ALB","Hungary","2011","0.659615528089329"
"ALB","Italy","2011","86.0076040341695"
"ALB","Luxembourg","2011","1.3901342174587"
"ALB","Romania","2011","0"
"ALB","Turkey","2011","0"
"ALB","Belgium","2012","0"
"ALB","Bulgaria","2012","0.736611100689457"
"ALB","Croatia","2012","0"
"ALB","Greece","2012","0.51394460191136"
"ALB","Hungary","2012","1.53084352121686"
"ALB","Italy","2012","-49.8140805402586"
"ALB","Luxembourg","2012","0"
"ALB","Romania","2012","0"
"ALB","Turkey","2012","5"
"DZA","Belgium","2001","0"
"DZA","France","2001","4.47423289277053"
"DZA","Germany","2001","0"
"DZA","Italy","2001","0"
"DZA","Korea,Republicof","2001","0"
"DZA","Luxembourg","2001","0"
"DZA","Morocco","2001","6.62655932053437"
"DZA","Portugal","2001","0"
"DZA","Spain","2001","0"
"DZA","Sweden","2001","0"
"DZA","Tunisia","2001","0.625560397856413"
"DZA","UnitedStates","2001","0"
"DZA","Belgium","2002","0"
"DZA","France","2002","56.4679309208978"
"DZA","Germany","2002","0.941132182014964"
"DZA","Italy","2002","3.17914451084655"
"DZA","Korea,Republicof","2002","1.068"
"DZA","Luxembourg","2002","0"
"DZA","Morocco","2002","2.04163112716186"
"DZA","Portugal","2002","0"
"DZA","Spain","2002","0"
"DZA","Sweden","2002","1.16338301263618"
"DZA","Tunisia","2002","0.562694745134449"
"DZA","UnitedStates","2002","0"
"DZA","Belgium","2003","0"
"DZA","France","2003","12.4148734698668"
"DZA","Germany","2003","0"
"DZA","Italy","2003","0"
"DZA","Korea,Republicof","2003","0"
"DZA","Luxembourg","2003","1.12862486089699"
"DZA","Morocco","2003","0"
"DZA","Portugal","2003","0"
"DZA","Spain","2003","0"
"DZA","Sweden","2003","-2.55914324227397"
"DZA","Tunisia","2003","0.853732362665508"
"DZA","UnitedStates","2003","0"
"DZA","Belgium","2004","0"
"DZA","France","2004","9.93338424192757"
"DZA","Germany","2004","0"
"DZA","Italy","2004","0"
"DZA","Korea,Republicof","2004","0"
"DZA","Luxembourg","2004","1.24167303024095"
"DZA","Morocco","2004","2.77401268828893"
"DZA","Portugal","2004","0"
"DZA","Spain","2004","0"
"DZA","Sweden","2004","-2.00573147781502"
"DZA","Tunisia","2004","2.08756533678049"
"DZA","UnitedStates","2004",".."
"DZA","Belgium","2005","0"
"DZA","France","2005","-7.46157289956723"
"DZA","Germany","2005","0"
"DZA","Italy","2005","14.5625031089887"
"DZA","Korea,Republicof","2005","0"
"DZA","Luxembourg","2005","1.2435954832612"
"DZA","Morocco","2005","0"
"DZA","Portugal","2005","0"
"DZA","Spain","2005","0"
"DZA","Sweden","2005","0"
"DZA","Tunisia","2005","4.16207425448772"
"DZA","UnitedStates","2005",".."
"DZA","Belgium","2006","0"
"DZA","France","2006","-18.8172481405423"
"DZA","Germany","2006","0"
"DZA","Italy","2006","33.1773174381948"
"DZA","Korea,Republicof","2006","0"
"DZA","Luxembourg","2006","-1.25448320936948"
"DZA","Morocco","2006","0"
"DZA","Portugal","2006","0"
"DZA","Spain","2006","0"
"DZA","Sweden","2006","-0.854254057533968"
"DZA","Tunisia","2006","0"
"DZA","UnitedStates","2006","-4"
"DZA","Belgium","2007","0"
"DZA","France","2007","57.4840071280169"
"DZA","Germany","2007","6.84333418190677"
"DZA","Italy","2007","-15.4317185801998"
"DZA","Korea,Republicof","2007","0"
"DZA","Luxembourg","2007","5.47466734552542"
"DZA","Morocco","2007","1.51361090190459"
"DZA","Portugal","2007","-0.681596084517914"
"DZA","Spain","2007","0"
"DZA","Sweden","2007","-1.66397140308074"
"DZA","Tunisia","2007","1.79496784666292"
"DZA","UnitedStates","2007","-3"
"DZA","Belgium","2008","0"
"DZA","France","2008","19.042736294723"
"DZA","Germany","2008","4.39447760647453"
"DZA","Italy","2008","12.4656681436994"
"DZA","Korea,Republicof","2008","0"
"DZA","Luxembourg","2008","1.46482586882484"
"DZA","Morocco","2008","0"
"DZA","Portugal","2008","0"
"DZA","Spain","2008","256.344527044348"
"DZA","Sweden","2008","0"
"DZA","Tunisia","2008","2.0046423296054"
"DZA","UnitedStates","2008","6"
"DZA","Belgium","2009","-77.7947413533229"
"DZA","France","2009","30.5622198173768"
"DZA","Germany","2009","9.72434266916536"
"DZA","Italy","2009","36.7580152894451"
"DZA","Korea,Republicof","2009","0"
"DZA","Luxembourg","2009","5.55676723952306"
"DZA","Morocco","2009","0"
"DZA","Portugal","2009","0"
"DZA","Spain","2009","104.189385741057"
"DZA","Sweden","2009","-0.522614851146225"
"DZA","Tunisia","2009","5.11008909329245"
"DZA","UnitedStates","2009","-2"
"DZA","Belgium","2010","-1.32442437205729"
"DZA","France","2010","-9.27097060440106"
"DZA","Germany","2010","0"
"DZA","Italy","2010","42.8318841923329"
"DZA","Korea,Republicof","2010","0"
"DZA","Luxembourg","2010","1.32442437205729"
"DZA","Morocco","2010","0"
"DZA","Portugal","2010","0"
"DZA","Spain","2010","88.7364329278387"
"DZA","Sweden","2010","0"
"DZA","Tunisia","2010","8.10395417074193"
"DZA","UnitedStates","2010","-1"
"DZA","Belgium","2011","83.4080530475217"
"DZA","France","2011","-43.0941607412196"
"DZA","Germany","2011","0"
"DZA","Italy","2011","206.156904449125"
"DZA","Korea,Republicof","2011","0"
"DZA","Luxembourg","2011","-88.9685899173565"
"DZA","Morocco","2011","3.67125800538204"
"DZA","Portugal","2011","0"
"DZA","Spain","2011","0"
"DZA","Sweden","2011","0"
"DZA","Tunisia","2011","0"
"DZA","UnitedStates","2011","-1"
"DZA","Belgium","2012","1.2848615047784"
"DZA","France","2012","0"
"DZA","Germany","2012","0"
"DZA","Italy","2012","-101.247086576538"
"DZA","Korea,Republicof","2012","0"
"DZA","Luxembourg","2012","-10.2788920382272"
"DZA","Morocco","2012","0"
"DZA","Portugal","2012","0"
"DZA","Spain","2012","0"
"DZA","Sweden","2012","-0.73800520146066"
"DZA","Tunisia","2012","0"
"DZA","UnitedStates","2012","0"
"AGO","Argentina","2001","0"
"AGO","Belgium","2001","0"
"AGO","France","2001","-36.6887097207184"
"AGO","Italy","2001","0"
"AGO","Luxembourg","2001","0"
"AGO","Mozambique","2001","0"
"AGO","Portugal","2001","1.62146200034004"
"AGO","Sweden","2001","0"
"AGO","UnitedStates","2001","-3"
"AGO","Argentina","2002","0"
"AGO","Belgium","2002","0"
"AGO","France","2002","7.52905745611971"
"AGO","Italy","2002","0"
"AGO","Luxembourg","2002","0"
"AGO","Mozambique","2002","0"
"AGO","Portugal","2002","1.14159333678415"
"AGO","Sweden","2002","-3.90045516538771"
"AGO","UnitedStates","2002","0"
"AGO","Argentina","2003","0"
"AGO","Belgium","2003","0"
"AGO","France","2003","-3.38587458269096"
"AGO","Italy","2003","0"
"AGO","Luxembourg","2003","0"
"AGO","Mozambique","2003","0"
"AGO","Portugal","2003","3.81700927955361"
"AGO","Sweden","2003","-11.0891878856832"
"AGO","UnitedStates","2003","1"
"AGO","Argentina","2004","0"
"AGO","Belgium","2004","0"
"AGO","France","2004","2.48334606048189"
"AGO","Italy","2004","0"
"AGO","Luxembourg","2004","0"
"AGO","Mozambique","2004","0"
"AGO","Portugal","2004","2.36662879563924"
"AGO","Sweden","2004","-8.69116288310207"
"AGO","UnitedStates","2004",".."
"AGO","Argentina","2005","0"
"AGO","Belgium","2005","0"
"AGO","France","2005","19.8975277321793"
"AGO","Italy","2005","0"
"AGO","Luxembourg","2005","0"
"AGO","Mozambique","2005","0"
"AGO","Portugal","2005","7.18922548873303"
"AGO","Sweden","2005","0"
"AGO","UnitedStates","2005","-13"
"AGO","Argentina","2006","0"
"AGO","Belgium","2006","0"
