"area","Reporting Economy","Year","value"
"ALB","Croatia","2008","0"
"ALB","Greece","2008","0"
"ALB","Hungary","2008","-3.84949177797882"
"ALB","Italy","2008","2.17105098351393"
"ALB","Mexico","2008","0"
"ALB","UnitedStates","2008","0"
"ALB","Bulgaria","2009","7.7475491784976"
"ALB","Croatia","2009","0"
"ALB","Greece","2009","-0.561834172483091"
"ALB","Hungary","2009","-6.38737172329452"
"ALB","Italy","2009","22.4733668993236"
"ALB","Mexico","2009","31.31"
"ALB","UnitedStates","2009","0"
"ALB","Bulgaria","2010","7.39453039921645"
"ALB","Croatia","2010","0"
"ALB","Greece","2010","0"
"ALB","Hungary","2010","-3.2632590462497"
"ALB","Italy","2010","38.7631598990367"
"ALB","Mexico","2010","36.32"
"ALB","UnitedStates","2010","0"
"ALB","Bulgaria","2011","8.4336429637048"
"ALB","Croatia","2011","-0.736229341262355"
"ALB","Greece","2011","0"
"ALB","Hungary","2011","-2.6654478976234"
"ALB","Italy","2011","117.602609538375"
"ALB","Mexico","2011","35.2019623387451"
"ALB","UnitedStates","2011","0"
"ALB","Bulgaria","2012","9.39281190626979"
"ALB","Croatia","2012","1.43154950390543"
"ALB","Greece","2012","0"
"ALB","Hungary","2012","-1.1595392205676"
"ALB","Italy","2012","0"
"ALB","Mexico","2012","32.73"
"ALB","UnitedStates","2012","0"
"DZA","Belgium","2001","0"
"DZA","Bulgaria","2001","0"
"DZA","Denmark","2001","0"
"DZA","France","2001","139.245080154051"
"DZA","Italy","2001","0"
"DZA","Jordan","2001","0"
"DZA","Korea,Republicof","2001","0"
"DZA","Mexico","2001","0"
"DZA","Portugal","2001","0"
"DZA","SaudiArabia","2001","0"
"DZA","Spain","2001","0"
"DZA","Turkey","2001","0"
"DZA","UnitedStates","2001","0"
"DZA","Belgium","2002","0"
"DZA","Bulgaria","2002","0"
"DZA","Denmark","2002","0"
"DZA","France","2002","255.88267988867"
"DZA","Italy","2002","0"
"DZA","Jordan","2002","0"
"DZA","Korea,Republicof","2002","1.339"
"DZA","Mexico","2002","0"
"DZA","Portugal","2002","0"
"DZA","SaudiArabia","2002","0"
"DZA","Spain","2002","0"
"DZA","Turkey","2002","0"
"DZA","UnitedStates","2002","0"
"DZA","Belgium","2003","0"
"DZA","Bulgaria","2003","0"
"DZA","Denmark","2003","0"
"DZA","France","2003","314.48685596502"
"DZA","Italy","2003","0"
"DZA","Jordan","2003","0"
"DZA","Korea,Republicof","2003","1.339"
"DZA","Mexico","2003","0"
"DZA","Portugal","2003","0"
"DZA","SaudiArabia","2003","0"
"DZA","Spain","2003","0"
"DZA","Turkey","2003","0"
"DZA","UnitedStates","2003","0"
"DZA","Belgium","2004","0"
"DZA","Bulgaria","2004","0"
"DZA","Denmark","2004","0"
"DZA","France","2004","457.66590389016"
"DZA","Italy","2004","0"
"DZA","Jordan","2004","0"
"DZA","Korea,Republicof","2004","1.339"
"DZA","Mexico","2004","0"
"DZA","Portugal","2004","0"
"DZA","SaudiArabia","2004","0"
"DZA","Spain","2004","0"
"DZA","Turkey","2004","1"
"DZA","UnitedStates","2004",".."
"DZA","Belgium","2005","0"
"DZA","Bulgaria","2005","0"
"DZA","Denmark","2005","0"
"DZA","France","2005","391.660463409829"
"DZA","Italy","2005","0"
"DZA","Jordan","2005","0"
"DZA","Korea,Republicof","2005","1.388"
"DZA","Mexico","2005","0"
"DZA","Portugal","2005","0"
"DZA","SaudiArabia","2005","2"
"DZA","Spain","2005","0"
"DZA","Turkey","2005","1"
"DZA","UnitedStates","2005","0"
"DZA","Belgium","2006","0"
"DZA","Bulgaria","2006","0"
"DZA","Denmark","2006","0"
"DZA","France","2006","371.394216522828"
"DZA","Italy","2006","0"
"DZA","Jordan","2006","0"
"DZA","Korea,Republicof","2006","1.388"
"DZA","Mexico","2006","0"
"DZA","Portugal","2006","0"
"DZA","SaudiArabia","2006","0"
"DZA","Spain","2006","0"
"DZA","Turkey","2006","1"
"DZA","UnitedStates","2006","-4"
"DZA","Belgium","2007","0"
"DZA","Bulgaria","2007","0"
"DZA","Denmark","2007","0"
"DZA","France","2007","444.573989183014"
"DZA","Italy","2007","9.36255156027805"
"DZA","Jordan","2007","0"
"DZA","Korea,Republicof","2007","0"
"DZA","Mexico","2007","0"
"DZA","Portugal","2007","-0.736049650965256"
"DZA","SaudiArabia","2007","0"
"DZA","Spain","2007","0"
"DZA","Turkey","2007","0"
"DZA","UnitedStates","2007","-7"
"DZA","Belgium","2008","0"
"DZA","Bulgaria","2008","0"
"DZA","Denmark","2008","0"
"DZA","France","2008","398.02601364422"
"DZA","Italy","2008","8.65636994708759"
"DZA","Jordan","2008","0"
"DZA","Korea,Republicof","2008","0"
"DZA","Mexico","2008","0"
"DZA","Portugal","2008","0"
"DZA","SaudiArabia","2008","0"
"DZA","Spain","2008","539.97934718167"
"DZA","Turkey","2008","0"
"DZA","UnitedStates","2008","-2"
"DZA","Belgium","2009","0"
"DZA","Bulgaria","2009","0"
"DZA","Denmark","2009","0"
"DZA","France","2009","436.501934006094"
"DZA","Italy","2009","47.0932284576211"
"DZA","Jordan","2009","1"
"DZA","Korea,Republicof","2009","0"
"DZA","Mexico","2009","1.57"
"DZA","Portugal","2009","0"
"DZA","SaudiArabia","2009","0"
"DZA","Spain","2009","753.434031304248"
"DZA","Turkey","2009","1"
"DZA","UnitedStates","2009","-4"
"DZA","Belgium","2010",".."
"DZA","Bulgaria","2010","0"
"DZA","Denmark","2010","0"
"DZA","France","2010","367.45498008394"
"DZA","Italy","2010","78.8090717285483"
"DZA","Jordan","2010","0"
"DZA","Korea,Republicof","2010","0"
"DZA","Mexico","2010","1.42"
"DZA","Portugal","2010","0"
"DZA","SaudiArabia","2010","0"
"DZA","Spain","2010","652.065564658046"
"DZA","Turkey","2010","3"
"DZA","UnitedStates","2010","-5"
"DZA","Belgium","2011","1.29389454600269"
"DZA","Bulgaria","2011","0.524029671724523"
"DZA","Denmark","2011","17.4046226677806"
"DZA","France","2011","335.120209818893"
"DZA","Italy","2011","268.199679889035"
"DZA","Jordan","2011","0"
"DZA","Korea,Republicof","2011","0"
"DZA","Mexico","2011","1.30810047181867"
"DZA","Portugal","2011","0"
"DZA","SaudiArabia","2011","0"
"DZA","Spain","2011","650.831913277618"
"DZA","Turkey","2011","2"
"DZA","UnitedStates","2011","4"
"DZA","Belgium","2012","1.31939407641967"
"DZA","Bulgaria","2012","0.848374498627824"
"DZA","Denmark","2012","17.6706543443304"
"DZA","France","2012","340.405319822673"
"DZA","Italy","2012","0"
"DZA","Jordan","2012","0"
"DZA","Korea,Republicof","2012","0"
"DZA","Mexico","2012","1.2"
"DZA","Portugal","2012","0"
"DZA","SaudiArabia","2012","0"
"DZA","Spain","2012","0"
"DZA","Turkey","2012","2"
"DZA","UnitedStates","2012","1"
"AGO","Argentina","2001","0"
"AGO","Belgium","2001","0"
"AGO","Brazil","2001","0"
"AGO","France","2001","2.64389392697565"
"AGO","Italy","2001","0"
"AGO","Norway","2001","0"
"AGO","Portugal","2001","24.7926746512263"
"AGO","SouthAfrica","2001","18.5544056405393"
"AGO","UnitedStates","2001","-9"
"AGO","Argentina","2002","0"
"AGO","Belgium","2002","0"
"AGO","Brazil","2002","0"
"AGO","France","2002","18.8765911393281"
"AGO","Italy","2002","0"
"AGO","Norway","2002","0"
"AGO","Portugal","2002","31.1956642567552"
"AGO","SouthAfrica","2002","28.3564814814815"
"AGO","UnitedStates","2002","0"
"AGO","Argentina","2003","0"
"AGO","Belgium","2003","0"
"AGO","Brazil","2003","0"
"AGO","France","2003","20.2079907447402"
"AGO","Italy","2003","0"
"AGO","Norway","2003","0"
"AGO","Portugal","2003","48.8022976485477"
"AGO","SouthAfrica","2003","47.5903614457831"
"AGO","UnitedStates","2003",".."
"AGO","Argentina","2004","0"
"AGO","Belgium","2004","0"
"AGO","Brazil","2004","0"
"AGO","France","2004","19.06941266209"
"AGO","Italy","2004","0"
"AGO","Norway","2004","0.496688741721854"
"AGO","Portugal","2004","59.1832842977008"
"AGO","SouthAfrica","2004","72.291296625222"
"AGO","UnitedStates","2004","-22"
"AGO","Argentina","2005","0"
"AGO","Belgium","2005","0"
"AGO","Brazil","2005","2.07548"
"AGO","France","2005","24.7737040108627"
"AGO","Italy","2005","0"
"AGO","Norway","2005","0"
"AGO","Portugal","2005","49.9201932820793"
"AGO","SouthAfrica","2005","78.102766798419"
"AGO","UnitedStates","2005","-36"
"AGO","Argentina","2006","0"
"AGO","Belgium","2006","0"
"AGO","Brazil","2006","0"
"AGO","France","2006","97.4580568180471"
"AGO","Italy","2006","0"
"AGO","Norway","2006","0"
"AGO","Portugal","2006","65.9290584366411"
"AGO","SouthAfrica","2006","81.3486370157819"
"AGO","UnitedStates","2006","6"
"AGO","Argentina","2007","2.428"
"AGO","Belgium","2007","0"
"AGO","Brazil","2007","0"
"AGO","France","2007","476.960173825486"
"AGO","Italy","2007","-2.13454398779924"
"AGO","Norway","2007","0"
"AGO","Portugal","2007","73.9317711415541"
"AGO","SouthAfrica","2007","87.5183553597651"
"AGO","UnitedStates","2007","-64"
"AGO","Argentina","2008","7.999"
"AGO","Belgium","2008","0"
"AGO","Brazil","2008","0"
"AGO","France","2008","132.211438098605"
"AGO","Italy","2008","0"
"AGO","Norway","2008","0"
"AGO","Portugal","2008","147.687134852883"
"AGO","SouthAfrica","2008","67.8130037614186"
"AGO","UnitedStates","2008","13"
"AGO","Argentina","2009","9.577"
"AGO","Belgium","2009","15.8465960528988"
"AGO","Brazil","2009","0"
"AGO","France","2009","146.941245110962"
"AGO","Italy","2009","68.4717390208239"
"AGO","Norway","2009","0"
"AGO","Portugal","2009","323.979514661711"
"AGO","SouthAfrica","2009","85.7723577235772"
"AGO","UnitedStates","2009",".."
"AGO","Argentina","2010","9.831"
"AGO","Belgium","2010","44.0945908860743"
"AGO","Brazil","2010","905"
"AGO","France","2010","109.568394061393"
"AGO","Italy","2010","8.55167953649897"
"AGO","Norway","2010","0"
"AGO","Portugal","2010","808.507852178874"
"AGO","SouthAfrica","2010","99.3727004041257"
"AGO","UnitedStates","2010",".."
"AGO","Argentina","2011","9.647"
"AGO","Belgium","2011","53.0499115064494"
"AGO","Brazil","2011","1146"
"AGO","France","2011","181.146059361564"
"AGO","Italy","2011","1.13863237312983"
"AGO","Norway","2011","1.3355592654424"
"AGO","Portugal","2011","533.077917389634"
"AGO","SouthAfrica","2011","77.7364329661423"
"AGO","UnitedStates","2011","-32"
"AGO","Argentina","2012","22.272"
"AGO","Belgium","2012","38.2626070804307"
"AGO","Brazil","2012","0"
"AGO","France","2012","228.256280346211"
"AGO","Italy","2012","0"
"AGO","Norway","2012","2.33393177737881"
"AGO","Portugal","2012","1361.4207304201"
"AGO","SouthAfrica","2012","77.0483993342077"
"AGO","UnitedStates","2012","143"
"ATG","Argentina","2001","0"
"ATG","Bulgaria","2001","0"
"ATG","Cyprus","2001","0"
"ATG","Italy","2001","0"
"ATG","Slovenia","2001","1.93885554644881"
"ATG","UnitedStates","2001","20"
"ATG","Argentina","2002","0"
"ATG","Bulgaria","2002","0"
"ATG","Cyprus","2002","0"
"ATG","Italy","2002","0"
"ATG","Slovenia","2002","2.29351063383531"
"ATG","UnitedStates","2002","3"
"ATG","Argentina","2003","0"
"ATG","Bulgaria","2003","0"
"ATG","Cyprus","2003","0"
"ATG","Italy","2003","0"
"ATG","Slovenia","2003","2.43632588416275"
"ATG","UnitedStates","2003","3"
"ATG","Argentina","2004","641.378"
"ATG","Bulgaria","2004","0"
"ATG","Cyprus","2004","0"
"ATG","Italy","2004","0"
"ATG","Slovenia","2004","2.48310994878501"
"ATG","UnitedStates","2004","3"
"ATG","Argentina","2005","891.764"
"ATG","Bulgaria","2005","0"
"ATG","Cyprus","2005","0"
"ATG","Italy","2005","0"
"ATG","Slovenia","2005","0.779781826246678"
"ATG","UnitedStates","2005","3"
"ATG","Argentina","2006","615.245"
"ATG","Bulgaria","2006","0"
"ATG","Cyprus","2006","0"
"ATG","Italy","2006","0"
"ATG","Slovenia","2006","-0.812589473739663"
"ATG","UnitedStates","2006","3"
"ATG","Argentina","2007","651.017"
"ATG","Bulgaria","2007","0"
"ATG","Cyprus","2007","0"
"ATG","Italy","2007","0"
"ATG","Slovenia","2007","-1.17767944154441"
"ATG","UnitedStates","2007","3"
"ATG","Argentina","2008","578.446"
"ATG","Bulgaria","2008","1.56705346630557"
"ATG","Cyprus","2008","0"
